,postag,s_id,w_id,word,0
543,PRP$,53.0,6.0,my,36415
544,NN,53.0,7.0,time,37835
545,DT,54.0,0.0,That,218899
546,VBZ,54.0,1.0,'s,197995
547,JJ,54.0,2.0,cool,3095
548,IN,54.0,3.0,if,50475
549,PRP,54.0,4.0,you,103796
550,VBP,54.0,5.0,do,27458
551,RB,54.0,6.0,n't,115
552,VB,54.0,7.0,care,4193
553,IN,54.0,8.0,for,133639
554,NNP,54.0,9.0,Mr.,0
555,NNP,54.0,10.0,Caine,384
556,IN,55.0,0.0,As,139962
557,IN,55.0,1.0,for,133639
558,NNP,55.0,2.0,Emma,416
559,NNP,55.0,3.0,Thompson,293
560,PRP,55.0,4.0,I,258405
561,VBP,55.0,5.0,'ve,15254
562,RB,55.0,6.0,always,9518
563,VBN,55.0,7.0,found,7817
564,PRP,55.0,8.0,her,54592
565,TO,55.0,9.0,to,407216
566,VB,55.0,10.0,be,81558
567,DT,55.0,11.0,an,65086
568,JJ,55.0,12.0,interesting,9530
569,NN,55.0,13.0,performer,303
570,IN,56.0,0.0,As,139962
571,IN,56.0,1.0,for,133639
572,NNP,56.0,2.0,Meryl,250
573,NNP,56.0,3.0,Streep,336
574,PRP,56.0,4.0,it,287854
575,VBD,56.0,5.0,seemed,4136
576,IN,56.0,6.0,that,218899
577,PDT,56.0,7.0,all,71118
578,DT,56.0,8.0,the,1014971
579,JJ,56.0,9.0,early,4670
580,NNS,56.0,10.0,movies,23125
581,PRP,56.0,11.0,I,258405
582,VBD,56.0,12.0,saw,9443
583,PRP,56.0,13.0,her,54592
584,IN,56.0,14.0,in,282877
585,PRP,57.0,0.0,I,258405
586,VBP,57.0,1.0,love,19459
587,JJ,57.0,2.0,Brian,877
588,NNP,57.0,3.0,Dennehy,0
589,NNP,58.0,0.0,Morgan,584
590,NNP,58.0,1.0,Freeman,368
591,IN,58.0,2.0,for,133639
592,PRP,58.0,3.0,me,31848
593,PRP,58.0,4.0,he,90071
594,RB,58.0,5.0,always,9518
595,VBZ,58.0,6.0,seems,10858
596,TO,58.0,7.0,to,407216
597,VB,58.0,8.0,bring,2598
598,PRP$,58.0,9.0,his,87950
599,NNS,58.0,10.0,characters,21837
600,TO,58.0,11.0,to,407216
601,NN,58.0,12.0,light,2969
602,CC,58.0,13.0,and,494087
603,RB,58.0,14.0,probably,8457
604,VBZ,58.0,15.0,has,50800
605,DT,58.0,16.0,the,1014971
606,JJS,58.0,17.0,best,19061
607,NN,58.0,18.0,voice,3263
608,CC,58.0,19.0,and,494087
609,NN,58.0,20.0,pronunciation,0
610,IN,58.0,21.0,in,282877
611,NN,58.0,22.0,film,121221
612,IN,58.0,23.0,at,70059
613,DT,58.0,24.0,the,1014971
614,NN,58.0,25.0,moment,3281
615,PRP,59.0,0.0,I,258405
616,VBP,59.0,1.0,feel,8891
617,PRP,59.0,2.0,he,90071
618,RB,59.0,3.0,always,9518
619,VBP,59.0,4.0,elegant,274
620,CC,59.0,5.0,and,494087
621,VBP,59.0,6.0,articulate,86
622,IN,59.0,7.0,with,133897
623,NN,59.0,8.0,everything,6994
624,CC,59.0,9.0,and,494087
625,VBZ,59.0,10.0,makes,12815
626,DT,59.0,11.0,the,1014971
627,NNS,59.0,12.0,actors,13266
628,IN,59.0,13.0,around,10862
629,PRP,59.0,14.0,him,26779
630,VBP,59.0,15.0,look,12565
